Contact Name: Full Name,Appointed By,Voting Status,Special Role,Account
Gregory MacKinnon,Membership Entitlement,Voting Rep,None,Broadcom Corporation
Enyu Wang,Membership Entitlement,Voting Rep,None,International Business Machines Corporation (IBM)
Mark Post,Membership Entitlement,Voting Rep,None,SUSE LLC
Phil Tully,Membership Entitlement,Voting Rep,Chair,"Automatic Data Processing, Inc. (ADP)"
Peter Fandel,Membership Entitlement,Voting Rep,None,"Rocket Software, Inc."
James Caffrey,Vote of TSC Committee,Voting Rep,None,International Business Machines Corporation (IBM)
Robert Dahlberg,Vote of TSC Committee,Voting Rep,None,Virginia Commonwealth University
sean grady,Vote of TSC Committee,Voting Rep,None,"Rocket Software, Inc."
